species,strain,treat,day,density,aspect_ratio,size,speed,linearity
Loxo,Loxo_1,C,20,722.903614457831,1.63392131979695,2.3202903220898583,50.8671700507614,0.531632562648706
Loxo,Loxo_1,C,22,1054.77108433735,1.47693961952026,2.409882508392136,67.5545657568238,0.602649051411188
Loxo,Loxo_1,C,24,254.975903614458,1.65770833333333,2.325255396954238,36.6645833333333,0.505307013467459
Loxo,Loxo_1,C,27,1184.42168674699,1.65129443326626,2.1871380143558405,46.2456606304494,0.536583042020843
Loxo,Loxo_1,C,29,318.566265060241,1.64064432989691,2.2999804333475318,30.6163917525773,0.412278391239906
Loxo,Loxo_1,C,31,714,1.64579646017699,2.313868363100574,37.4934181415929,0.46075765428841
Loxo,Loxo_1,C,34,1045.33734939759,1.80813486370158,2.319298323272659,41.8110903873745,0.427547567909689
Loxo,Loxo_1,C,36,1911.86746987952,1.8788239363542,2.322022880345891,45.9657004496714,0.472455773895398
Loxo,Loxo_1,C,38,332.590361445783,1.79100656455142,2.3174529677593427,45.6646827133479,0.531656060809236
Loxo,Loxo_1,T,3.1,57.6385542168675,1.60616666666667,2.431185720547566,58.8213333333333,0.598233163134527
Loxo,Loxo_1,T,4.1,49.4578313253012,1.6509375,2.315290572967092,36.76296875,0.449402257725933
Loxo,Loxo_1,T,5.1,139.084337349398,1.88668789808917,2.336893824062611,49.7775796178344,0.437037586259567
Loxo,Loxo_1,T,6.1,113.481927710843,1.86053846153846,2.3694964449064,48.2606153846154,0.531806181132059
Loxo,Loxo_1,T,7.1,501.024096385542,1.8141796875,2.3490786883936154,43.4721484375,0.393484704985522
Loxo,Loxo_1,T,8,350.33734939759,1.77728291316527,2.300602059576148,29.9690476190476,0.312266861217252
Loxo,Loxo_1,T,9,683.493975903614,1.84502717391304,2.335706151406464,39.725339673913,0.422956860342293
Loxo,Loxo_1,T,10,579.132530120482,1.71888709677419,2.3223231860938878,38.2617741935484,0.396177767712675
Loxo,Loxo_1,T,11,884.710843373494,1.7409010989011,2.307762884923021,44.3271538461538,0.456856916140018
Loxo,Loxo_1,T,12,674.89156626506,1.68581426648721,2.29096027493807,44.3366621803499,0.485508445654856
Loxo,Loxo_1,T,13,591.89156626506,1.74189701897019,2.25849766780838,28.4474661246612,0.336781329747719
Loxo,Loxo_1,T,14,609.373493975904,1.645,2.266565971747991,32.5608832335329,0.414966994458726
Loxo,Loxo_1,T,15.1,537.89156626506,1.64806896551724,2.2700586496455584,31.3411034482759,0.398558244184607
Loxo,Loxo_1,T,16,609.78313253012,1.65299757281553,2.112046149399819,48.6391262135922,0.530051287095947
Loxo,Loxo_1,T,17.1,241.361445783133,1.5869512195122,2.3123534330420688,40.5020325203252,0.455938001222352
Loxo,Loxo_1,T,18,231.698795180723,1.63113924050633,2.2944871548394334,38.3215189873418,0.45389586376435
Loxo,Loxo_1,T,20,207.89156626506,1.57344186046512,2.320110427670058,40.5815813953488,0.440036512193921
Loxo,Loxo_1,T,22,363.289156626506,1.55623342175066,2.341826858435363,51.4742440318302,0.578917479268955
Loxo,Loxo_1,T,24,825.759036144578,1.69062906724512,2.3385750140946056,41.126431670282,0.477178679948398
Loxo,Loxo_1,T,27,623.66265060241,1.65238095238095,2.161310377732152,37.698380952381,0.511044445873373
Loxo,Loxo_1,T,29,676.277108433735,1.59583662714097,2.3172139537003407,39.454861660079096,0.456422569445297
Loxo,Loxo_1,T,31,1666.95180722892,1.54311144730207,2.377841619820278,52.4848764498235,0.498049154500975
Loxo,Loxo_1,T,34,1229.92771084337,1.58047445255474,2.3498358884180153,36.9633211678832,0.477619812641819
Loxo,Loxo_1,T,36,635.433734939759,1.61765957446809,2.332696309723221,32.9312765957447,0.41605692749431
Loxo,Loxo_1,T,38,1077.71084337349,1.57407014681892,2.4262930523256565,43.3051876019576,0.43528297515846
Loxo,Loxo_1,A,3.1,81.7469879518072,2.00651376146789,2.301232951021485,58.5560550458716,0.376206955773596
Loxo,Loxo_1,A,4.1,43.0481927710843,1.64923076923077,2.432954497736335,52.2517948717949,0.568595737950154
Loxo,Loxo_1,A,5.1,42.5783132530121,1.78,2.399316238729081,45.940652173913,0.438767602026008
Loxo,Loxo_1,A,6.1,9.75903614457831,1.95636363636364,2.306547840946514,32.6827272727273,0.223425692278113
Loxo,Loxo_1,A,7.1,87.3493975903614,2.05772727272727,2.2418662430123675,34.153,0.265147008258964
Loxo,Loxo_1,A,8.1,243.939759036145,1.68416326530612,2.418963020048657,64.7657959183673,0.538730041819484
Loxo,Loxo_1,A,9,160.506024096386,1.77802139037433,2.377899993629962,45.1450802139037,0.42112430216271
Loxo,Loxo_1,A,10,191.397590361446,1.78818681318681,2.327251905648762,34.975,0.378020868853572
Loxo,Loxo_1,A,11,160.493975903614,1.78029069767442,2.30634983310786,26.1996511627907,0.3326854260048
Loxo,Loxo_1,A,12.1,225.566265060241,1.73764444444444,2.3660567709909976,37.8828444444444,0.420342242113787
Loxo,Loxo_1,A,13,172.433734939759,1.83539772727273,2.277517923697742,24.3788636363636,0.350356692145044
Loxo,Loxo_1,A,14,163.951807228916,1.74459770114943,2.314185518468091,33.4498850574713,0.408152817833522
Loxo,Loxo_1,A,15.1,187.493975903614,1.82100418410042,2.1697474574351077,22.634309623431,0.23644947825616
Loxo,Loxo_1,A,16,239.036144578313,1.67316363636364,2.206653399167619,30.7898181818182,0.322187374748912
Loxo,Loxo_1,A,17.1,252.33734939759,1.54654618473896,2.339127953809275,43.4572289156627,0.52604906561037
Loxo,Loxo_1,A,18,357.759036144578,1.6372311827957,2.2423274528894224,26.0771774193548,0.330186400680324
Loxo,Loxo_1,A,20,294.771084337349,1.5813468013468,2.293651638377526,41.0994949494949,0.434556068914321
